1,Precious Achiuwa,Tor,F,22.48,58,23,47.8,18.1,11.3,105,0.59,364,0.445,91,0.374,0.468,0.487,8.4,6.8,16,1.1,6.9,0.52,0.53,1.1,6.9,103.8,103.2
2,Steven Adams,Mem,C,28.65,65,26.5,55.2,12.3,19.8,177,0.548,333,0.553,1,0,0.551,0.564,7.2,9.8,19.3,3.3,15.7,0.83,0.75,1.57,9.3,123.5,104.7
3,Bam Adebayo,Mia,C-F,24.66,44,33.2,69.1,25.2,14.7,259,0.749,590,0.546,5,0,0.541,0.591,19,10.4,17.6,3.5,17.9,1.55,0.82,2.77,10.7,114.1,96.8
4,Santi Aldama,Mem,F-C,21.17,27,10.2,21.4,17,7.8,20,0.6,58,0.569,39,0.103,0.402,0.425,3.3,2.4,12,0.5,6.6,0.07,0.26,0.33,6.2,98.7,104.7
5,LaMarcus Aldridge,Bro,C-F,36.65,45,22.8,47.6,22.7,7.8,102,0.873,410,0.58,45,0.311,0.569,0.607,13.5,5.6,13.3,0.9,6.5,0.31,1.02,0.93,7.2,120,108.7
6,Nickeil Alexander-Walker,Nor,G,23.53,50,26.3,54.9,24.8,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.8,2.8,16.3,0.82,0.38,1.7,7.5,96.5,109.8
7,Nickeil Alexander-Walker,Uta,G,23.53,6,6.1,12.6,16.5,14.5,4,1,3,0.333,7,0.143,0.25,0.383,1.5,1.3,12,1,20.9,0,0.17,0.33,8.2,96.8,104.8
8,Grayson Allen,Mil,G,26.43,56,27.8,57.8,15.6,5.5,63,0.857,159,0.503,351,0.396,0.566,0.587,11.3,3.4,6.4,1.6,8,0.79,0.27,0.55,5.7,119.9,109.6
9,Jarrett Allen,Cle,C,23.9,56,32.3,67.3,18.1,12.7,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,18.2,1.6,8.2,0.77,1.34,1.68,8.1,132.7,102.8
10,Jose Alvarado,Nor,G,23.92,40,13.9,29,18.3,11.4,31,0.677,115,0.504,81,0.309,0.487,0.506,5.3,1.6,6.2,2.4,25.8,1.2,0.15,0.68,7.9,110.1,101.6
11,Justin Anderson,Cle,F-G,28.32,3,15.5,32.4,11.1,17,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,7.1,2,17.5,0.33,0,0.67,6.7,126.3,102.5
12,Justin Anderson,Ind,F-G,28.32,3,10.1,21,18.9,7.5,3,1,2,0.5,9,0.111,0.227,0.325,2.7,1.3,7.3,1,12.7,0.33,0.33,0.33,6,86.9,101.9
13,Kyle Anderson,Mem,F-G,28.48,56,21.4,44.6,16.1,11.7,85,0.6,290,0.472,88,0.318,0.474,0.492,7.3,5.4,13.1,2.6,16.3,1.14,0.63,0.98,8.7,107.8,103.1
14,Giannis Antetokounmpo,Mil,F,27.27,57,32.8,68.4,34.8,12.1,659,0.719,833,0.612,216,0.306,0.581,0.632,29.7,11.5,18.4,5.9,32.9,1.05,1.39,3.23,15.4,124.2,99.2
15,Thanasis Antetokounmpo,Mil,F,29.65,40,9.4,19.6,14.2,15.9,26,0.615,83,0.554,11,0.091,0.505,0.526,2.8,2.1,11.9,0.5,6.9,0.35,0.23,0.5,6.1,108.5,96.1
16,Carmelo Anthony,Lal,F,37.79,59,26.5,55.3,20.2,7.3,142,0.831,275,0.513,344,0.392,0.555,0.591,13.6,4.2,8.4,1,5.6,0.73,0.83,0.92,5.8,115.2,107
