Rank,Name,Position,Age,Scoring_grade,Passing_grade,Rebounding_grade,Rating,Efficiency,Turnover_grade,Overall,Salary
0,Precious Achiuwa,F,22.48,5,5,8,7,9,6,6.916666666666670,1000
1,Steven Adams,C,28.65,5,5,9,10,9,8,7.916666666666670,3500
2,Bam Adebayo,C-F,24.66,8,5,10,9,8,10,8.658333333333330,5000
3,LaMarcus Aldridge,C-F,36.65,6,5,7,10,9,10,8.108333333333330,3500
4,Nickeil Alexander-Walker,G,23.53,6,5,5,9,7,8,6.916666666666670,1000
5,Grayson Allen,G,26.43,6,5,5,10,9,8,7.416666666666670,2000
6,Jarrett Allen,C,23.9,7,5,10,10,10,10,8.966666666666670,5000
7,Giannis Antetokounmpo,F,27.27,10,7,10,10,10,10,9.925000000000000,5000
8,Carmelo Anthony,F,37.79,6,5,6,10,9,8,7.608333333333330,2000
9,Cole Anthony,G,21.83,7,7,7,8,8,8,7.8500000000000000,1000
10,OG Anunoby,F,24.66,7,5,7,8,9,10,7.966666666666670,3500
11,Deni Avdija,F,21.19,5,5,7,7,7,8,6.75,1000
12,Deandre Ayton,C,23.64,7,5,10,10,10,8,8.633333333333330,5000
13,LaMelo Ball,G,20.56,8,8,8,8,9,10,8.9,1000
14,Lonzo Ball,G,24.38,6,7,7,9,10,10,8.516666666666670,3500
15,Mo Bamba,C,23.84,6,5,9,9,9,10,8.275,3500
16,Desmond Bane,G,23.72,7,5,6,10,10,10,8.300000000000000,3500
17,Harrison Barnes,F,29.79,7,5,7,10,10,8,8.133333333333330,3500
18,Scottie Barnes,F,20.62,7,5,8,9,8,10,8.133333333333330,1000
19,RJ Barrett,F-G,21.75,8,5,7,8,8,7,7.516666666666670,1000
20,Will Barton,G,31.18,6,5,6,9,9,8,7.466666666666670,2000
21,Nicolas Batum,G-F,33.25,5,5,6,10,10,9,7.8,3500
22,Darius Bazley,F-G,21.75,6,5,8,9,7,10,7.9000000000000000,1000
23,Bradley Beal,G,28.71,9,7,6,10,7,9,8.300000000000000,3500
24,Malik Beasley,G,25.29,6,5,5,10,9,6,7.083333333333330,2000
25,Patrick Beverley,G,33.67,5,6,6,10,8,10,7.8,3500
26,Saddiq Bey,F,22.93,7,5,7,10,8,8,7.8,1000
27,Eric Bledsoe,G,32.26,5,6,5,8,7,10,7.083333333333330,2000
28,Bojan Bogdanovic,F,32.9,8,5,6,10,9,5,7.491666666666670,2000
29,Bogdan Bogdanovic,G,29.57,6,5,6,9,9,10,7.8,3500
30,Devin Booker,G,25.37,10,6,7,9,9,10,8.85,5000
31,Avery Bradley,G,31.3,5,5,5,9,9,9,7.25,2000
32,Miles Bridges,F,23.98,8,5,8,9,8,9,8.158333333333330,3500
33,Mikal Bridges,F,25.54,6,5,6,10,10,10,8.108333333333330,3500
34,Malcolm Brogdon,G,29.25,8,7,7,10,8,8,8.35,3500
35,Dillon Brooks,G-F,26.14,8,5,5,7,8,10,7.416666666666670,2000
36,Bruce Brown,G-F,25.58,5,5,6,10,9,10,7.8,3500
37,Jaylen Brown,G-F,25.38,9,5,8,7,8,10,8.233333333333330,3500
38,Jalen Brunson,G,25.53,7,7,5,10,9,9,8.083333333333330,3500
39,Reggie Bullock,G-F,31.0,5,5,5,8,8,7,6.583333333333330,1000
40,Alec Burks,G,30.65,6,5,6,10,9,10,7.966666666666670,3500
41,Jimmy Butler,F,32.5,8,7,8,10,7,10,8.708333333333330,5000
42,Kentavious Caldwell-Pope,G,29.07,6,5,5,10,9,10,7.75,2000
43,Clint Capela,C,27.82,6,5,10,10,10,10,8.775,5000
44,Wendell Carter Jr.,C-F,22.91,6,5,10,10,9,8,8.275,1000
45,Alex Caruso,G,28.04,5,5,5,10,8,10,7.416666666666670,2000
46,Jordan Clarkson,G,29.77,7,5,5,8,8,8,7.083333333333330,2000
47,Amir Coffey,G-F,24.74,5,5,5,10,9,7,7.083333333333330,2000
48,John Collins,F-C,24.47,7,5,8,10,9,10,8.466666666666670,3500
49,Mike Conley,G,34.42,6,7,5,10,9,10,8.083333333333330,3500
50,Pat Connaughton,G,29.18,6,5,6,10,10,9,7.966666666666670,3500
51,Robert Covington,F,31.25,5,5,7,8,8,10,7.416666666666670,2000
52,Jae Crowder,F,31.69,5,5,7,8,8,10,7.416666666666670,2000
53,Cade Cunningham,G,20.47,7,7,7,8,8,10,8.183333333333330,1000
54,Seth Curry,G,31.56,7,6,5,9,10,8,7.75,2000
55,Stephen Curry,G,34.0,10,7,7,9,9,10,9.016666666666670,5000
56,Anthony Davis,F-C,29.01,9,5,9,10,8,10,8.85,5000
57,DeMar DeRozan,G-F,32.6,10,7,7,10,8,9,8.85,5000
58,Spencer Dinwiddie,G,28.94,6,7,6,9,7,7,7.3,2000
59,Luka Doncic,F-G,23.04,10,9,9,8,8,10,9.450000000000000,5000
60,Luguentz Dort,G,22.9,7,5,6,8,8,9,7.466666666666670,1000
61,Ayo Dosunmu,G,22.15,5,5,5,9,10,8,7.25,1000
62,Chris Duarte,G,24.75,6,5,6,10,9,10,7.966666666666670,3500
63,Kevin Durant,F,33.45,10,7,8,10,9,9,9.258333333333330,5000
64,Anthony Edwards,G,20.61,8,5,6,9,8,10,7.966666666666670,1000
65,Kessler Edwards,F,21.59,5,5,5,9,8,7,6.75,1000
66,Joel Embiid,C-F,28.0,10,6,10,10,9,10,9.566666666666670,5000
67,Dorian Finney-Smith,F,28.86,6,5,6,10,9,10,7.941666666666670,3500
68,Evan Fournier,G-F,29.37,6,5,5,8,9,9,7.25,2000
69,De'Aaron Fox,G,24.23,9,7,5,9,8,10,8.25,3500
70,Danilo Gallinari,F,33.6,6,5,6,10,9,6,7.2750000000000000,2000
71,Darius Garland,G,22.13,8,9,5,9,9,10,8.583333333333330,1000
72,Paul George,F,31.87,9,7,8,7,8,10,8.566666666666670,3500
73,Josh Giddey,G,19.43,6,7,8,9,7,9,8.066666666666670,1000
74,Shai Gilgeous-Alexander,G-F,23.67,9,7,6,8,7,10,8.133333333333330,3500
75,Rudy Gobert,C,29.71,7,5,10,10,10,10,8.966666666666670,5000
76,Aaron Gordon,F,26.49,6,5,7,9,9,7,7.441666666666670,2000
77,Eric Gordon,G,33.21,6,5,5,10,10,6,7.25,2000
78,Devonte' Graham,G,27.06,6,6,5,10,8,9,7.583333333333330,2000
79,Jerami Grant,F,28.01,8,5,6,10,8,10,8.158333333333330,3500
